,Region,Variables,R_2,Var_R,Random_seed
0,Albany,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.6912437603155606,0.056618850180116476,0
1,Albany,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.526736131026514,0.3138448050663827,1
2,Albany,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.5662654532009825,0.2627045681316691,2
3,Albany,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.009032525168819805,0.7001571341999543,3
4,Albany,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.7743803146364232,0.07716474906276893,4
5,Atlanta,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.8482638081297056,0.019750714077078513,0
6,Atlanta,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.913821076399218,0.0034901892444230143,1
7,Atlanta,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.849447158869594,0.07789192401223066,2
8,Atlanta,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.8988758009830092,0.010975483110807649,3
9,Atlanta,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.8555063207781181,0.007103378674884753,4
10,BaltimoreWashington,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.8345269662833262,0.08253285024839108,0
11,BaltimoreWashington,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.72918827523981,0.06285389557985421,1
12,BaltimoreWashington,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.893035369261808,0.02465314320988754,2
13,BaltimoreWashington,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.6237547735605595,0.26735411357992755,3
14,BaltimoreWashington,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.9338132901099669,0.018085903602056863,4
15,Boise,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.8295857738924165,0.041125711236666085,0
16,Boise,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.8142351999963549,0.10748492931857423,1
17,Boise,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.8569888231374577,0.05608973639892845,2
18,Boise,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.8098716386171335,0.06092429472398664,3
19,Boise,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.8702638731169033,0.06330443048081436,4
20,Boston,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.8171995651548773,0.05390718164155728,0
21,Boston,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.09149700364881341,0.7226840771166718,1
22,Boston,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.8194990369249413,0.05053217065134341,2
23,Boston,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.2871520442216331,0.21256189163567196,3
24,Boston,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.8917940466363748,0.08034031493614635,4
25,BuffaloRochester,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.10535632814265838,0.30506063845174713,0
26,BuffaloRochester,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.7673349975858849,0.06359835230459532,1
27,BuffaloRochester,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.7185084442479914,0.011486527173253824,2
28,BuffaloRochester,"['Standard Volume', 'year', 'n_week', 'type_Bool']",-2.6863877694924527,3.4930630408421655,3
29,BuffaloRochester,"['Standard Volume', 'year', 'n_week', 'type_Bool']",-0.5669973060239968,1.3292843750834862,4
30,California,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.9421508692925439,0.0005121155773372132,0
31,California,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.9398692284510463,0.02627817144818212,1
32,California,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.95012117089586,0.014796175966659941,2
33,California,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.9378528067776144,0.025478570568650882,3
34,California,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.952780265990618,0.011151893590893636,4
35,Charlotte,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.9099205574970359,0.012967643588559952,0
36,Charlotte,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.9020054186909097,0.03168282747353757,1
37,Charlotte,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.6722833001258587,0.09967555302343534,2
38,Charlotte,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.7777059675120808,0.14944116462107104,3
39,Charlotte,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.9021517337224889,0.008942086884605516,4
40,Chicago,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.7705985370386383,0.07588509951945288,0
41,Chicago,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.6306760337917348,0.2860826560912255,1
42,Chicago,"['Standard Volume', 'year', 'n_week', 'type_Bool']",-1.9165371294375824,2.5098464690686138,2
43,Chicago,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.6134013649021985,0.30346528600335065,3
44,Chicago,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.8812799160076529,0.006158234609219715,4
45,CincinnatiDayton,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.8957097943666579,0.016551799660265876,0
46,CincinnatiDayton,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.887073177150878,0.004400243886777955,1
47,CincinnatiDayton,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.8680240587282881,0.016760169455813156,2
48,CincinnatiDayton,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.8853184990662821,0.027984302985181952,3
49,CincinnatiDayton,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.7392152356458441,0.0843142031464168,4
50,Columbus,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.7530462917338351,0.11984206019758725,0
51,Columbus,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.8197894970607096,0.05607668069268579,1
52,Columbus,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.3172144621008395,0.49327158443862573,2
53,Columbus,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.552195331494812,0.31200128413629613,3
54,Columbus,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.41581898182694177,0.4150994938287793,4
55,DallasFtWorth,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.7482031054832009,0.0019461717089480635,0
56,DallasFtWorth,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.9696891801013201,0.017618366953569442,1
57,DallasFtWorth,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.9093024205069058,0.03323414427334204,2
